algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4072,336,0.584578,0.094303,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,304,333,0.450165,0.111037,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2913,333,0.489516,0.104882,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,49313,809,0.426907,0.294396,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5649,406,0.589786,0.114141,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5686,406,0.589786,0.114141,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,394,403,0.439658,0.137590,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3891,403,0.486055,0.128467,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,40039,512,0.443886,0.175643,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1675,140,0.533219,0.040852,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1770,140,0.533219,0.040852,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,260,138,0.496508,0.042202,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1076,138,0.525460,0.040648,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,45476,939,0.479575,0.319932,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,4128,252,0.660191,0.065049,post
